Date,Open,High,Low,Close,Adj Close,Volume
2015-11-11,77.631363,77.825386,77.138237,77.599030,61.374821,735644
2015-11-12,77.356506,77.558609,76.523849,76.596603,60.581963,632726
2015-11-13,76.499596,77.332253,75.537590,75.650764,59.833885,704595
2015-11-16,75.650764,76.556183,75.230392,76.531929,60.530823,696802
2015-11-17,76.297493,77.033142,76.095390,76.119644,60.204723,552692
2015-11-18,76.507683,77.405014,76.087311,77.316086,61.151016,584359
2015-11-19,77.453514,77.987068,77.105904,77.760712,61.502697,532776
2015-11-20,78.181084,78.722717,78.100243,78.569122,62.142082,970921
2015-11-23,78.399353,78.827812,78.310425,78.625710,62.186821,517685
2015-11-24,78.229591,78.924820,77.784966,78.690376,62.237972,936038
2015-11-25,78.633789,79.078415,77.906227,78.302345,61.931091,729088
2015-11-27,78.132576,79.086502,78.092155,78.860146,62.372253,386686
2015-11-30,79.005661,79.199677,78.092155,78.221504,61.867138,1174037
2015-12-01,78.746971,79.911072,78.512527,79.886826,63.184277,859097
2015-12-02,79.393692,80.121262,78.310425,78.464027,62.058964,901278
2015-12-03,78.011314,78.455940,77.453514,77.914307,61.624157,1198406
2015-12-04,78.286179,79.620049,78.019402,79.054161,62.525715,891877
2015-12-07,78.940987,79.563461,78.569122,79.337105,62.749496,833243
2015-12-08,79.191589,79.547295,78.666130,79.223930,62.659973,700513
2015-12-09,78.819725,79.458366,78.181084,78.843979,62.359463,708801
2015-12-10,78.860146,79.143089,77.873886,78.334679,61.956650,868745
2015-12-11,77.793045,78.666130,77.437347,78.092155,61.764828,1139277
2015-12-14,77.987068,78.989494,77.372673,78.940987,62.436199,1167357
2015-12-15,79.385612,80.113174,79.361359,79.490700,62.870987,1269162
2015-12-16,79.838318,81.253029,79.329025,80.970093,64.041061,1218074
2015-12-17,80.905418,81.915924,80.371864,80.379951,63.574306,1182325
2015-12-18,80.072754,80.242523,78.795471,78.819725,62.340298,1784991
2015-12-21,79.668556,79.927246,78.253838,78.779305,62.308311,817410
2015-12-22,79.272430,79.765564,79.143089,79.248184,62.679176,1108847
2015-12-23,79.498787,80.792236,79.401779,80.767990,63.881207,758405
2015-12-24,80.832657,81.018593,80.282944,80.687149,63.817253,256430
2015-12-28,80.388039,81.309624,80.088928,81.228783,64.245667,488491
2015-12-29,81.608734,82.231209,81.244949,82.037186,64.885048,734531
2015-12-30,81.899757,82.376717,81.713821,81.778496,64.680458,417240
2015-12-31,81.665321,81.867424,80.751816,80.808411,63.913181,715605
2016-01-04,79.951492,80.299110,78.811638,79.563461,62.928524,838562
2016-01-05,79.870651,80.816490,79.620049,80.614388,63.759697,706574
2016-01-06,79.983833,80.436539,79.401779,80.234436,63.459209,964860
2016-01-07,79.086502,79.846405,78.924820,79.442200,62.832607,1397563
2016-01-08,79.490700,80.008087,77.550522,77.728378,61.477116,839428
2016-01-11,77.987068,79.183510,77.251411,77.348427,61.176601,1138411
2016-01-12,77.728378,77.728378,75.957962,76.216652,60.281467,1204467
2016-01-13,76.321747,76.685532,75.004044,75.125305,59.418285,1049718
2016-01-14,75.392075,75.836700,74.478577,74.810020,59.168934,1015206
2016-01-15,75.004044,75.004044,73.233627,73.435730,58.081966,1594369
2016-01-19,74.090546,74.591751,73.581245,73.686340,58.280174,902639
2016-01-20,72.950684,73.459984,70.113174,71.495552,56.547424,1552435
2016-01-21,71.875504,72.603073,70.994339,71.827003,56.809586,1054914
